name,iucn
pelagic-thresher-shark,vu
bigeye-thresher,vu
common-thresher,vu
bali-catshark,vu
new-caledonia-catshark,vu
bluegrey-carpetshark,vu
borneo-shark,en
pondicherry-shark,cr
smoothtooth-blacktip-shark,vu
oceanic-whitetip-shark,vu
dusky-shark,vu
sandbar-shark,vu
night-shark,vu
sand-tiger,vu
great-white-shark,vu
gulper-shark,vu
dumb-gulper-shark,en
lowfin-gulper-shark,vu
deepwater-spiny-dogfish,vu
basking-shark,vu
hooktooth-shark,vu
school-shark,vu
southern-sawtail-catshark,vu
ganges-shark,cr
new-guinea-river-shark,cr
speartooth-shark,en
irrawaddy-river-shark,cr
brown-shyshark,vu
natal-shyshark,cr
sick-fin-weasel-shark,vu
snaggletooth-shark,vu 
papuan-epaulette-shark,vu
hooded-carpet-shark,vu
whitefin-topeshark,en
honeycomb-izak,en
whitespotted-izak,en
daggernose-shark,cr
shortfin-mako,vu
longfin-mako,vu
broadfin-shark,en
porbeagle,vu
striped-smoothhound,cr
common-smoothhound,en
narrownose-smoothhound,en
humpback-smoothhound,vu
tawny-nurse-shark,vu
sharptooth-lemon-shark,vu
smalltooth-sand-tiger-shark,vu
angular-rough-shark,vu
shorttail-nurse-shark,vu
whale-shark,vu
lizard-catshark,vu
flapnose-houndshark,vu
scalloped-hammerhead,en
great-hammerhead,en
smalleye-hammerhead,vu
smooth-hammerhead,vu
piked-dogfish,vu
phillipines-spurdog,vu
sawback-angelshark,cr
eastern-angel-shark,vu
argentine-angel-shark,en
taiwan-angelshark,en
hidden-angelshark,en
japanese-angelshark,vu
clouded-angelshark,vu
smoothback-angelshark,cr
angular-angelshark,en
angel-shark,cr
ocellated-angelshark,vu
zebra-shark,vu
sharpfin-houndshark,en
spotted-houndshark,vu
